ءبد	أبد,تأبد,أبدا
ءبق	أبق
ءبن	إبان
ءبو	أب
ءبي	أبى,إباء
ءتو	إتاوة
ءتي	مأتى,مآت,مؤاتاة,إتيان,آتى,إيتاء,أتى,إتاء,آت,ءتي,مأتاة,تأت,أتي
ءثث	أثاث
ءثر	آثر,أثر,تأثر
ءجر	أجرة,آجر,استأجر,أجر
ءحد	أحد
ءخذ	تأخيذ,خد,مؤاخذ,آخذ,إخاذ,أخذ,اتخاذ,اتخذ,ءخذ,مؤاخذة
ءخر	أخير,متأخر,آخر,تأخير,تأخر
ءخو	أخ
ءدب	أدب
ءدو	أداة
ءدي	أدى,أدي
ءذن	مئذنة,أذن,مؤذن,استأذن
ءذي	أذى
ءرخ	أرخ,تاريخ,مؤرخ
ءرق	يرقان
ءرك	أريكة
ءزم	متأزم,أزمة,تأزم
ءسر	أسر,أسير,ءسر,ماسورة,أسرة
ءسس	مؤسسة,أسس,أساس,ءسس,مؤسس
ءسو	أسوان,أسي,أسى,ءسو,مأساة,إسوة,أسوة
ءصل	استأصل,تأصل,أصل
ءطر	إطار
ءفق	أفق
ءفل	ءفل
ءقط	أقط
ءكد	أكد,متأكد,تأكد
ءكل	تآكل,تأكل,أكل,مؤكل,تأكيل,مأكل,مؤاكلة,ءكل,مؤاكل,إكال,آكل
ءلف	ألف,مؤلف,ءلف,تألف,ائتلف,تآلف,ائتلاف
ءلل	ءلل,أل
ءلم	آلم,ألم,أليم
ءله	أله,الله,إله
ءلو	ألا
ءمر	تآمر,أمير,أميرة,أمر,تأمير,آمر,إمار,ائتمر,ايتمر,مؤامر,ءمر,ايتمار,ائتمار,مؤامرة,مأمور,مؤتمر,إمارة
ءمل	تأمل,أمل
ءمم	أمة,أم,إمام,أمام
ءمن	استئمان,أمين,إيمان,مؤمن,تأمين,أمانة,ءمن,استأمن,أيمن,أمان,آمين,آمن,أمن
ءمو	أمة
ءنس	إنسان,آنسة
ءنق	أنيق
ءني	استأنى
ءوب	ءوب,تأوب,آئب,مأوب,أوب,آب,تأويب,مؤوب
ءوف	آفة
ءول	ءول,إيالة,تأويل,آلة,أول
ءوه	تأوه
ءوي	مأوى,أوى,ءوي
ءيء	إياك,إيا
ءيد	أيد
ءيض	آض
ءين	أين
ءيي	أين
بءس	بئيس,بئس,تباءس,أبأس,بائس,ابتأس
بتت	بات
بتر	بتر,أبتر
بتل	بتول
بثث	انبث
بثق	انبثق
بحث	بحث,مباحثة,باحث,بحاث,تباحث,بحث
بحح	بح,بحاح
بحر	بحر
بخر	بخار,بخور
بخل	أبخل,بخل,بخيل
بدء	مبتدأ,ابتدأ,مبتدئ,ابتداء,بدأ,بداية
بدد	استبد,بد
بدر	بدر
بدل	تبديل,بادل,بدال,إبدال,استبدال,بدل,أبدل,تبدل,بدلة,مبادلة,بديل,استبدل,بدل,تبادل
بدن	بدن
بدو	بدا
بذر	بذر
بذل	ابتذل,مبتذل,بذلة
برء	برئ,أبرأ,برهان,برء,براءة,برهن,برأ,بريء
برد	بارد,بردان,أبرد,برادة
برر	بر,تبرير
برز	أبرز,برز,مبارز,مبارزة,برز,بارز
برغش	ابرغش
برق	برقية,برق,أبرق
برقع	برقع
برك	بركة,برك,تبارك,تبريك,مباركة,مبارك,برك,ركبة
برمج	
برنس	تبرنس,برنس,برنس
بره	برهن,برهان
برهن	برهن,برهان
بري	بارى
بزبز	بزبز
بزز	ابتز,ابتزاز
بزم	إبزيم
بسر	بسر,بسر
بسس	بس
بسط	بساط,بسط,بسيط,أبسط,انبسط
بسم	ابتسم,تبسم,ابتسامة,بسم
بشر	بشري,مباشر,باشر,بشر,بشرى
بصر	بصر,بصير,أبصر
بصق	بصق
بطء	بطيء,بطأ,بطء,إبطاء,أبطأ,بطؤ
بطر	بيطار
بطل	بطالة,أبطل,بطل,باطل
بطن	بطانة,باطن
بعث	بعث,مبعوث
بعد	أبعد,بعد,استبعد,بعيد,ابتعد,بعد,ابتعاد
بعض	بعض,بعوضة
بغي	ابتغى,بغى,انبغى,بغي,بغي
بقق	بوق
بقل	باقلا,بقال
بقي	باق,بقية,أبقى,بقي
بكر	مبكر,بكرة,بكر,باكر
بكل	بكلة
بكم	أبكم
بكي	تباكى,بكي,بكى
بلج	ابلاج
بلد	بلدية,بلد,بلاد,تبلد,تبليد,بلد,تبالد
بلس	إبليس
بلط	بلاط
بلع	أبلع,ابتلع,بلع
